Name,pKa,Center,Index,Smiles,Source,Error
3280,5.6,C,1,CC(C(CC(C)(C)C1)=O)C1=O,Moitessier,0.0
6610,4.3,N,2,Cc2[nH+]cc1COC(O)c1c2O,Moitessier,0.0
3857,6.16,N,4,CN(C)c2[nH+]c1CCCCc1o2,Moitessier,0.0
2316,10.46,O,6,Cc1cccc(O)c1C,Moitessier/RBFmodel_Train,0.04
5085,7.24,N,5,C=C[C@@]1(O)C[N@H+]2CC[C@H]1CC2[C@H](O)c3ccnc4ccc(OC)cc34,Moitessier,0.0
7518,11.61,C,2,O=C(Cc1ccc(Cl)c([N+](=O)[O-])c1)c2cccnc2,Moitessier,0.0
997_1,9.7,O,9,Cc1cc(cc(c1Cl)C)[OH:9],Moitessier/RBFmodel_Test,0.0
3754,0.98,N,11,Cc1cc(N(=O)=O)cc(C)c1[NH3+],Moitessier/RBFmodel_Train,0.0
2687,10.9,N,11,CCNc1ncnc2c1cn[nH]2,Moitessier,0.0
6933,3.95,N,5,Sc2ccc1[nH+]cccc1c2,Moitessier,0.0
6905,6.08,O,8,[O-]C(C1(CCCC1)C(O)=O)=O,Moitessier,0.0
555_1,11.01,N,8,CCCCCCCC[NH2+:17]CCCCCCCC,Moitessier/RBFmodel_Train,0.0
1495,6.08,S,9,CC(Nc(cc1)ccc1S)=O,Moitessier,0.0
4449,6.37,N,13,O=C([O-])CCc2[nH]c1ccccc1[nH+]2,Moitessier,0.0
881,3.26,C,2,O=C(CC(C1)=O)CS1=O,Moitessier,0.0
183_1,8.27,N,9,c1ccc(cc1)[C@@H]2C[C@H]2[NH3+:10],Moitessier/RBFmodel_Valid,0.0
2267,8.99,O,4,Nc1nc(O)nc2nc[nH]c12,Moitessier,0.0
4010,8.04,O,2,O=C(O)c1nc[nH]c1C(=O)[O-],Moitessier,0.0
1907,8.27,O,0,Oc(cc1)ccc1C(SS1)=CC1=O,Moitessier,0.0
5378,8.44,N,5,Cc1cc([O-])[nH+]c2OCCc12,Moitessier,0.0
334,7.63,N,7,c2ncc(Cc1c[nH+]c[nH]1)[nH]2,Moitessier,0.0
6702,8.8,O,9,Cn2cnc1ncnc(O)c12,Moitessier,0.0
866,10.3,N,0,[NH3+]CCCCc1ccccn1,Moitessier,0.0
6329,2.85,O,0,OC(c1ncccn1)=O,Moitessier/RBFmodel_Train,0.0
4740,10.65,S,3,CCCS,Moitessier,0.0
2299,2.95,O,4,CC1(C(=O)O)CCC=[N+]1[O-],Moitessier,0.0
2195,7.33,N,6,N#CC(C#N)=NNc(cc1)ccc1/N=N/c1ccccc1,Moitessier,0.0
4250,6.71,O,0,Oc1c2c(O)cccc2ccc1,Moitessier,0.0
107_1,2.968,N,6,c1cc(c(cc1[NH3+:7])Cl)Cl,Moitessier/RBFmodel_Valid,0.0
4393,3.3,O,18,[NH3+]c(cccc1)c1O[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1C(O)=O,Moitessier,0.0
1355,5.62,N,12,CCN(CC)c1nc(N)nc(N)[nH+]1,Moitessier,0.0
496_1,6.8,N,7,c1cc(ccc1C[NH+:12](CCO)CCO)F,Moitessier/RBFmodel_Train,0.0
4540,8.645,N,5,CC(=O)CC[NH+](C)C,Moitessier/RBFmodel_Train,0.245
2257,6.5,N,2,O=C(Nc1c2[nH]cn1)NC2=S,Moitessier,0.0
6621,2.68,O,0,OC(C(Cc1ccccc1)=O)=O,Moitessier,0.0
3686,0.3,N,3,Cn2c[nH+]c1[nH]c(=O)[nH]c(=S)c12,Moitessier,0.0
574,1.23,N,10,Cc1ccccc1n2nn[nH+]c2N,Moitessier,0.0
1283,11.52,C,3,COC(C1c(cccc2)c2c2c1cccc2)=O,Moitessier,0.0
1296,4.45,O,15,C[C@@](Cc1ccc(cc1)N(=O)=O)(CC(=O)[OH:19])C(=O)OC,Moitessier/RBFmodel_Test,0.0
5595,8.99,N,5,CC(C)N/C=[NH+]/c2ccc(c1cn(C)cn1)cc2,Moitessier,0.0
605,5.4,N,10,OCc2[nH]c1ccccc1[nH+]2,Moitessier,0.0
58_1,5.301,N,6,CC[C@H]1CSC(=[NH+:7]1)C,Moitessier/RBFmodel_Valid,0.0
5025,3.0,O,19,[O-][N+](c(c1ccccc11)cc(C[NH+]2CCOCC2)c1O)=O,Moitessier,0.0
259,5.185,N,0,[NH3+]c2ccc1CCCCc1c2,Moitessier/RBFmodel_Train,0.015
5347,9.0,O,0,Oc1cccc(C(c2ccccc2)=O)c1,Moitessier,0.0
6132,5.2,O,18,[O-]P(C(c(cccc1)c1O)[NH2+]Cc1ccncc1)(O)=O,Moitessier,0.0
525_1,9.9,N,10,C[C@H]1C[C@@H]([C@H]2CCCC[C@H]2[NH2+:13]1)C(=O)OC,Moitessier/RBFmodel_Test,0.0
2655,10.45,O,9,CNCC(c1cccc(O)c1)O,Moitessier,0.0
4458,2.15,N,8,COc2ccc1C=C[NH+](C)C(O)c1c2,Moitessier,0.0
3816,8.61,O,11,N#C/C(/c1ccccc1)=C(\[O-])/O,Moitessier,0.0
3008,5.3,C,2,CCC(C(C=C(C)O1)=O)C1=O,Moitessier,0.0
5447,10.9,O,6,Cc1nn(C)c(O)c1Cc1ccccc1,Moitessier,0.0
7173,5.23,N,3,C[C@H]1C[NH2+][C@@H](C)C[NH2+]1,Moitessier,0.0
7527,7.28,C,2,O=C(Cc2cc[n+](Cc1ccccc1)cc2)c3ccccc3,Moitessier,0.0
1574,7.8,O,18,Cc(c(c1ccccc1)nn1c2ccccc2)c1O,Moitessier,0.0
6767,10.2,N,0,[NH3+]CCc1c[nH]c2ccccc12,Moitessier/RBFmodel_Valid,0.0
1208_1,9.94,O,14,CCc1ccc(c2c1oc(c2CC)C)[OH:15],Moitessier/RBFmodel_Train,0.0
1813,8.7,N,8,COC(=O)C1=CCC[NH2+]C1,Moitessier,0.0
3999,5.41,N,2,Cc2[nH+]nc1CCCCc1c2C,Moitessier,0.0
7097,4.75,N,0,[NH3+]c3ccc(c2ccc(/[NH+]=C/c1ccccc1O)cc2)cc3,Moitessier,0.0
2261,10.62,N,3,CC(C)[NH2+]CCN,Moitessier,0.0
177_2,8.76,N,18,N#Cc4ccc3sc1ccccc1n(CCCC[NH+]2CCC(O)CC2)c3c4,Moitessier,0.0
5399,6.27,N,11,CCOc2ccc1[nH]c(CC)[nH+]c1c2,Moitessier,0.0
1339,4.65,O,8,CCCCCCCP(=[OH+])(CCCCCCC)CCCCCCC,Moitessier,0.0
2820,6.64,N,4,CC(C)(C(N1)=O)SC1=O,Moitessier,0.0
848_1,4.3,N,8,c1ccc(cc1)C(=O)[NH:26]S(=O)(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Moitessier/RBFmodel_Train,0.0
783_1,7.9,N,11,C[C@H](CO)Nc1c2cc(c(=O)[nH:22]c2nc(n1)SCc3cccc(c3F)F)C#N,Moitessier/RBFmodel_Train,0.0
810,7.46,N,4,C/C=C/1C[NH+]2CC[C@]35C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc4ccccc45,Moitessier,0.0
3631,1.4,N,5,Oc2ccc1[nH+]ccnc1c2,Moitessier,0.0
1137_1,3.97,O,12,c1cc(cc(c1)N(=O)=O)CC(=O)[OH:13],Moitessier/RBFmodel_Valid,0.0
6862,4.8,N,23,CCOCCn4c(CN2CC[NH+](CCCCn1cccn1)CC2)[nH+]c3ccccc34,Moitessier,0.0
6385,1.9,O,0,OC(c1[nH+]c2ccccc2cc1)=O,Moitessier,0.0
445,4.63,N,14,COc3ccc(c2[nH]c1cccnc1[nH+]2)c(OC)c3,Moitessier,0.0
717_1,5.05,N,15,CCn3cc(C(=O)O)c(=O)c2cc(F)c([NH+:14]1CC[NH2+]CC1)nc23,Moitessier,0.0
3165,4.19,O,4,OC(C(C(O)=O)c(cc1)ccc1c1ccccc1)C1CCCCC1,Moitessier,0.0
4132,8.5,O,12,[O-][N+](=O)c1ccccc1[B-](O)(O)[OH2+],Moitessier,0.0
1262,9.12,N,2,CC[NH+]1CCC[C@H]1CNC(=O)c2c([O-])c(Cl)cc(Cl)c2OC,Moitessier,0.0
4579,4.6,N,9,Cc2[nH]c1cccnc1[nH+]2,Moitessier,0.0
5699,5.51,N,7,[NH3+]CCCc1cc[nH+]cc1,Moitessier,0.0
4669,5.29,N,5,Cc1nnc(NS(c(cc2)ccc2N)(=O)=O)s1,Moitessier,0.0
7162,11.49,C,2,N#CC(Cc(cc1)ccc1Cl)C#N,Moitessier,0.0
6206,7.5,N,12,Cc3c1ccncc1cc4c2c[nH+]ccc2[nH]c34,Moitessier,0.0
4966,2.43,N,4,C[NH+]3CC[NH+](C(c1ccccc1)c2ccc(Cl)cc2)CC3,Moitessier,0.0
262_2,3.16,N,32,COC5(OC)C[C@@H]4[C@@H]2C(=O)N(Cc1ccc(F)cc1)C(=O)[C@@H]2[C@H](c3ccc(C(N)=[NH2+])cc3)[NH+]4C5,Moitessier,0.0
722_1,5.28,N,11,CN3C(C(=O)Nc1cccc[nH+:22]1)=C([O-])c2ccccc2S3(=O)=O,Moitessier,0.0
4780,2.94,O,0,OC(c(o1)ccc1I)=O,Moitessier,0.0
5824,11.4,N,6,CNc1c(cn[nH]2)c2nc(SC)n1,Moitessier,0.0
1300,8.68,N,17,COc4cccc5C(=O)N(C1CC2CCC(C1)[NH+]2Cc3ccccc3)Cc45,Moitessier,0.0
5750,2.94,O,10,CC([C@H]1[C@H](CC(O)=O)[C@@H](C(O)=O)[NH2+]C1)O,Moitessier,0.0
1313,8.0,O,0,Oc(c1ncccc1c(I)c1)c1I,Moitessier,0.0
3637,2.8,N,0,[NH3+]c3ccc(c2ncc(c1ccc(Br)cc1)o2)cc3,Moitessier,0.0
1037,8.08,N,1,C[NH+]1CCCC1c2cccnc2,Moitessier/JensenSwainOlsen,0.02
359_1,7.77,N,9,CCO[P@@](=O)(C)SCC[NH+:8](C)C,Moitessier/RBFmodel_Train,0.0
4315,4.655,O,2,CC(O)=O,Moitessier/RBFmodel_Train,0.105
7287,4.04,N,7,OC3CO[C@H](n2c[nH+]c1ccccc12)[C@@H](O)[C@@H]3O,Moitessier,0.0
5599,7.65,N,4,CC(C)(C(N1)=S)NC1=S,Moitessier,0.0
4427,2.9,N,2,Nc2[nH+]nc(c1ccccc1)s2,Moitessier,0.0
1152_1,8.47,O,13,CCCCOC(=O)c1ccc(cc1)[OH:13],Moitessier/RBFmodel_Train,0.0
230_2,4.2,N,5,CO[C@@H]4CC[NH+]5[C@@H](c1ccc(C#N)cc1)[C@H]3C(=O)N(Cc2ccc(F)cc2)C(=O)[C@H]3[C@H]45,Moitessier,0.0
7025,8.45,O,10,C[NH+](C)Cc1ccccc1O,Moitessier,0.0
6858,4.7,O,10,Cc([n+]1c2SCC1)ccc2O,Moitessier,0.0
3719,3.5,N,7,Cn2c(=O)c1[nH]c[nH+]c1n(C)c2=O,Moitessier,0.0
959_1,3.15,O,5,CC(C)(C(=O)[OH:8])C(=O)O,Moitessier/RBFmodel_Train,0.0
4314,7.56,C,2,CC(CC(Nc1cc(C)ccc1)=S)=O,Moitessier,0.0
6204,7.75,C,4,CN(C)C(CC(c1ccncc1)=O)=O,Moitessier,0.0
3936,5.8,N,13,Cc(cc1)cc2c1N=C(C)C=C(C)N2,Moitessier,0.0
2718,10.9,O,9,NCCc(cc1)ccc1O,Moitessier,0.0
7060,5.85,N,6,Nc(ccc(S(Nc1nccs1)(=O)=O)c1)c1/N=N/c1ccccc1,Moitessier,0.0
7022,10.6,C,4,COC(=O)CC(C)=O,Moitessier,0.0
147,3.7,N,12,Cc1cc([NH3+])ccc1c2ccc([NH3+])cc2C,Moitessier,0.0
83_1,9.51,N,4,COCC[NH2+:7]CCOC,Moitessier/RBFmodel_Train,0.0
5432,9.0,N,12,Cc1ccccc1/C(=N\CCC[NH+](C)C)c2ccccc2N,Moitessier,0.0
3856,7.24,O,0,OC(c1ccncc1)n1c[nH+]cc1,Moitessier,0.0
4206,9.64,N,6,NCCSCC[NH3+],Moitessier,0.0
4542,8.5,N,4,CC(C)=NNS(C)(=O)=O,Moitessier,0.0
7525,10.7,C,2,O=C(Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c2cccnc2,Moitessier,0.0
1197_1,2.84,O,4,C[C@@H](C(=O)[OH:11])Oc1cc(c(cc1Cl)Cl)Cl,Moitessier/RBFmodel_Train,0.0
2011,8.04,N,4,CCCC[NH2+]CC(=O)Nc1c(C)cccc1C,Moitessier,0.0
6671,5.86,N,10,Cc2cc1cccc(O)c1[nH+]c2C,Moitessier,0.0
5293,2.2,N,7,Cc1ccnc(S)[nH+]1,Moitessier,0.0
1862,4.42,N,8,c2ccc(c1ccc[nH+]c1)nc2,Moitessier,0.0
620_1,9.43,N,16,C[C@@H](CC(c1ccccc1)c2ccccc2)[NH+:19](C)C,Moitessier/RBFmodel_Valid,0.0
691_1,3.23,N,21,c1ccc2c(c1)ccc3c2c(=O)cc(o3)c4cccc(c4)[NH3+:20],Moitessier/RBFmodel_Train,0.0
6322,10.56,N,2,CC[NH2+]CCN,Moitessier,0.0
990,6.765,N,6,Nc1cccc[nH+]1,Moitessier/RBFmodel_Train,0.055
7528,6.38,C,5,C[n+]2ccc(CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1)cc2,Moitessier,0.0
4223,8.8,N,10,CCOC(=O)C1CC2CC[NH+]1CC2,Moitessier,0.0
7003,2.93,O,12,Cc1cc([N+](=O)[O-])ccc1C(=O)O,Moitessier/RBFmodel_Train,0.02
2085,6.72,O,0,OC(C=CC=CC1=O)=C1O,Moitessier,0.0
1301,3.95,N,18,O=C([O-])C[NH+](CC(=O)[O-])Cc2[nH]c1ccccc1[nH+]2,Moitessier,0.0
4220,1.59,N,20,Cc3cc(c1ccccc1)n(c2ccc(C(=O)O)cc2)[nH+]3,Moitessier,0.0
140,8.15,N,5,O=C(C[C@H]1C(N2)=O)N[C@@H]1C2=O,Moitessier,0.0
5302,7.21,N,5,NC(=O)C[C@@H]([NH3+])C(=O)NCC(=O)[O-],Moitessier,0.0
5922,10.31,O,6,Cc(cc(cc1)O)c1OC,Moitessier,0.0
7116,7.0,N,9,COc2c1ccccc1[nH+]c3ccccc23,Moitessier,0.0
3245,6.95,O,15,C[NH+](C)Cc(c(C([O-])=O)c(C[NH+](C)C)c(O)c1O)c1O,Moitessier,0.0
1651,5.58,N,8,NC(=O)CCc1cc[nH+]cc1,Moitessier,0.0
3480,13.71,C,2,O=C(Cc1cnccc1)c1ccccc1,Moitessier,0.0
4060,0.6,N,4,Clc1c[nH][nH+]c1,Moitessier,0.0
3898,4.95,O,8,CC1CCCC(C(=O)O)C1,Moitessier,0.0
6054,4.59,O,11,COCC(C1C=CC2C1)=C2C(O)=O,Moitessier,0.0
2,1.0,N,2,c1c[nH+]c3c(c1)ccc2[nH+]cccc23,Moitessier,0.0
3981,2.63,O,0,OC([C@@]12O[C@@H]1CC[NH2+]C2)=O,Moitessier,0.0
471,11.4,N,6,NC(CC(N1)=CNC1=S)C([O-])=O,Moitessier,0.0
6525,3.0,O,5,O[C@H]([C@H]([C@H](C(O)=O)O[C@@H]1Oc2cc3ccccc3[nH+]c2)O)[C@@H]1O,Moitessier,0.0
6588,11.9,N,9,CN(C1=O)C([O-])=Nc2c1[nH]cn2,Moitessier,0.0
21_2,9.0,N,7,c2ccc(N1CC[NH2+]CC1)cc2,Moitessier,0.0
6465,3.46,O,0,OC(c1cccs1)=O,Moitessier,0.0
3276,4.45,N,6,O=S(C(F)(F)F)(Nc1ccccc1)=O,Moitessier,0.0
829,11.2,N,3,[O-]c1c2[nH]cnc2nc(C(F)(F)F)n1,Moitessier,0.0
406_1,9.2,N,2,CC[N@@H+:11]1CCC[C@H](C(=O)CCC1)O,Moitessier/RBFmodel_Train,0.0
3054,6.62,O,9,OC(c1ccccc1)=C(O)O,Moitessier,0.0
4707,8.3,O,4,CC(/C=N/O)=O,Moitessier,0.0
3500,8.83,S,0,Sc1ccnc2ccccc12,Moitessier,0.0
2663,7.06,N,8,O=N(=O)c1cccc2[nH+]ccc(NCCCO)c12,Moitessier,0.0
875_1,3.6,N,11,COc1ccc(cc1)S(=O)(=O)[NH:27]C(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Moitessier/RBFmodel_Train,0.0
236_2,6.08,N,29,NC(=[NH2+])c5ccc([C@H]4[C@H]2C(=O)N(Cc1ccc(F)cc1)[C@H](CCF)[C@H]2[C@@H]3CCC[NH+]34)cc5,Moitessier,0.0
2528,5.34,N,15,Cc1cnc3c(c1)c(C)c(C)c2ccc[nH+]c23,Moitessier,0.0
5889,8.19,N,4,[NH3+]CCC[NH2+]CCO,Moitessier,0.0
4143,4.25,O,5,Cc1[nH+]c(C(O)=O)c(C([O-])=O)[nH]1,Moitessier,0.0
1336,3.18,O,23,C/C(=N\NC(=O)Nc1cc(cc(c1)F)F)/c2c(cccn2)C(=O)[OH:22],Moitessier/RBFmodel_Test,0.0
4503,8.72,N,4,O=C([O-])C/[NH+]=C/1CCCC1,Moitessier,0.0
4419,4.7,N,4,c4ccc3[nH+]c2ccc1ccccc1c2cc3c4,Moitessier,0.0
3790,10.31,O,10,CC(C)c(cc1)c(C)cc1O,Moitessier,0.0
1782,4.53,N,4,CN(C)c1[nH+]cnc2[nH]ncc12,Moitessier,0.0
3218,7.1,O,18,CC(=O)c2cc(F)cc(C(=O)Nc1nnn[n-]1)c2O,Moitessier,0.0
4187,4.64,N,4,C[NH2+]CC[NH2+]CC[NH3+],Moitessier,0.0
41_2,9.05,N,3,FC1C[NH2+]CCC1Cc2ccccc2,Moitessier,0.0
3494,9.11,N,1,C[NH+](C)CCO,Moitessier/RBFmodel_Train,0.11
4377,11.25,N,7,Fc(cc1)ccc1NC=S,Moitessier,0.0
580_1,9.25,N,3,CC(C)[NH2+:13]C[C@@H](c1ccc(cc1)S(=O)(=O)C)O,Moitessier/RBFmodel_Train,0.0
5468,7.9,O,0,Oc(c1ncccc1c(Cl)c1)c1I,Moitessier,0.0
2367,8.86,O,0,Oc1cc2ncccc2cc1,Moitessier/RBFmodel_Train,0.01
7531,9.45,C,3,C[As+](C)(CC(=O)c1ccccc1)c2ccccc2,Moitessier,0.0
2460,4.88,N,10,CCCCN(CCCC)c2[nH+]nc(c1ccccc1)cc2C,Moitessier,0.0
804_1,8.15,N,24,c1cc(ccc1C#N)C(=O)N2CCC3(CC2)Nc4c(ccc(c4C(=[NH+:22]3)N)F)F,Moitessier/RBFmodel_Test,0.0
637_1,4.7,N,14,C[C@H](c1ccc(cc1)CC(C)C)C(=O)[NH:15]S(=O)(=O)C,Moitessier/RBFmodel_Train,0.0
6024,7.26,O,4,CC(C=C1O)=CC=CC1=O,Moitessier,0.0
2867,4.09,N,11,Cc(cccc1)c1c1nnn[nH]1,Moitessier,0.0
69_2,8.46,N,3,CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,Moitessier,0.0
7497,8.08,C,7,C[n+]2ccc(C(=O)Cc1cccc([N+](=O)[O-])c1)cc2,Moitessier,0.0
926_1,1.74,O,4,CC(C(=O)[OH:5])(Cl)Cl,Moitessier/RBFmodel_Valid,0.0
1370,2.88,N,6,CN(c1nnn[nH]1)[N+]([O-])=O,Moitessier,0.0
327_1,5.1,N,6,Cc1c(c(nc([nH+:10]1)N)C)CC=C,Moitessier/RBFmodel_Train,0.0
7385,10.06,S,6,O=C([O-])CCCS,Moitessier,0.0
5877,5.9,N,6,Cc1cccc(NS(c(cc2)ccc2N)(=O)=O)[n+]1[O-],Moitessier,0.0
12_1,10.42,N,5,CCC(CC)[NH3+:6],Moitessier/RBFmodel_Valid,0.0
9_3,6.59,O,2,O=C(O)C=CC=CC=CC(=O)[O-],Moitessier,0.0
3488,8.17,N,9,CCCC(C)C(CC)(C(NC(N1)=O)=O)C1=O,Moitessier,0.0
1798,4.89,N,1,C[NH+](CCO)c1ccccc1,Moitessier,0.0
6512,9.115,N,7,CCOC(=O)CC[NH3+],Moitessier/RBFmodel_Train,0.015
2084,6.99,N,11,CC(C)(S)C(C(=O)[O-])n1cc[nH+]c1Cc2ccccc2,Moitessier,0.0
614_1,8.5,N,8,c1ccc(cc1)[C@H](C[NH3+:15])Oc2cc(ccc2Cl)Cl,Moitessier/RBFmodel_Train,0.0
138_2,9.3,N,2,CC([NH2+]CCC(c1ccccc1)c2ccccc2)c3ccccc3,Moitessier,0.0
4067,5.52,N,4,Nc1cc[nH+]c2c1ncn2CCOCP(=O)(O)[O-],Moitessier,0.0
982_1,3.59,O,8,Cc1nc(co1)C(=O)[OH:9],Moitessier/RBFmodel_Test,0.0
215,8.4,N,5,[NH3+]C(Cc1n[nH]cn1)C([O-])=O,Moitessier,0.0
4249,13.4,O,4,Cn1cc(O)nc1N,Moitessier,0.0
6429,7.32,N,8,CCOC(C(C1=O)=NNC(N(C)C(N2C)=O)=C1C2=O)=O,Moitessier,0.0
1451,5.7,N,4,Cn1cc[nH+]c1c2ccccn2,Moitessier,0.0
4983,9.42,N,0,[NH3+]CCc1ccc(N(=O)=O)cc1,Moitessier,0.0
2107,9.05,O,13,COc1nc([N-]S(c(cc2)ccc2O)(=O)=O)nc(OC)c1,Moitessier,0.0
899_1,13.11,O,4,C(C(F)F)[OH:3],Moitessier/RBFmodel_Test,0.0
3457,1.47,N,2,Nc1[nH+]c[nH+]c(N)c1N,Moitessier,0.0
6452,2.36,N,14,CC(c1cc(F)cc(NC(c2nnn[nH]2)=O)c1O)=O,Moitessier,0.0
158,5.58,N,19,C/C(=C(CCO)\SSCCC(C)C)N(C=O)Cc1c[nH+]c(C)nc1N,Moitessier,0.0
6205,4.63,N,4,Cc3cc2[nH+]cn([C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)c2cc3C,Moitessier,0.0
1302,3.69,O,0,OC(c(c1c2)cccc1ccc2O)=O,Moitessier,0.0
2057,8.1,N,2,CC(NBr)=O,Moitessier,0.0
1386,1.43,S,9,N#Cc(cc1)ccc1C(S)=O,Moitessier,0.0
1547,6.6,N,13,CC(=O)n1ccnc1Cc2[nH]cc[nH+]2,Moitessier,0.0
2281,10.99,N,12,CC(C)Nc1ncnc2c1cn[nH]2,Moitessier,0.0
3170,4.96,O,10,CN(C)c(cc1)ccc1C(O)=O,Moitessier,0.0
2645,10.85,N,12,[O-]c2cc1ccccc1cc2C3=[NH+]CCN3,Moitessier,0.0
182_1,4.3,N,9,c1ccc(c(c1)C2CC2)[NH3+:10],Moitessier/RBFmodel_Train,0.0
1129_1,3.26,O,4,C[C@@H](C(=O)[OH:11])Oc1ccc(cc1)Cl,Moitessier/RBFmodel_Train,0.0
968,11.01,N,11,CC(C)(C)NCCCCCC[NH2+]C(C)(C)C,Moitessier,0.0
3580,10.54,N,22,c2c(CN1CCNCC[NH2+]CC1)n[nH]c2CN3CCNCC[NH2+]CC3,Moitessier,0.0
2769,13.42,N,10,c1c(c2ccccc2)nc[nH]1,Moitessier,0.0
25_1,9.55,N,1,C[NH2+:6]CCCCO,Moitessier/RBFmodel_Train,0.0
4418,9.15,N,9,CCc2c([O-])n(C1CC[NH+](C)CC1)nc2c3ccccc3,Moitessier,0.0
80_1,6.55,N,2,CC[NH+:7](CCCl)CCCl,Moitessier/RBFmodel_Train,0.0
4592,11.57,O,7,[O-]c(cc1)ccc1O,Moitessier,0.0
207,4.0,N,9,OCNc1nc(NCO)[nH+]c(NCO)n1,Moitessier,0.0
459,7.705,O,0,Oc1cccc(Cl)c1Cl,Moitessier/RBFmodel_Train,0.005
2668,8.61,N,14,COc4c(C(=O)N[C@@H]1C[C@H]2CC[C@@H](C1)[NH+]2Cc3ccccc3)cccc4[N+](=O)[O-],Moitessier,0.0
6732,8.97,N,0,[NH3+]CCC[n+]2ccc1ccccc1c2,Moitessier,0.0
605_1,7.7,N,9,CCCC[C@@H](CC)CO[NH+:15](C[C@@H](C)O)C[C@@H](C)O,Moitessier/RBFmodel_Train,0.0
310_1,5.93,N,4,CC(C)(C)[NH2+:11]c1ccc(cc1)Br,Moitessier/RBFmodel_Train,0.0
6095,10.62,N,14,CCCCCCCCCCCCCC[NH3+],Moitessier,0.0
1734,10.2,N,3,CNC(=[NH2+])CCNS(=O)(=O)c1ccc(C)cc1,Moitessier,0.0
1380_1,6.66,S,7,Cc1cccc(c1)[SH:8],Moitessier/RBFmodel_Test,0.0
6981,9.49,N,0,[NH3+]Cc1ccccc1,Moitessier/RBFmodel_Train,0.13
3773,4.8,O,11,C#CC#CC=C=CC(CCC(O)=O)O,Moitessier,0.0
7191,7.36,O,5,NC(=O)/C=C(O)/c1ccncc1,Moitessier,0.0
5279,3.09,N,14,COc3ccc(c2[nH]c1cncnc1[nH+]2)c(OC)c3,Moitessier,0.0
520,9.53,N,0,[NH3+]C1CCCCC1O,Moitessier/RBFmodel_Train,0.0
865_1,9.2,N,19,Cc1ccccc1C[C@@H](C(=O)[O-])N2CCC(CC2)C[NH+:28]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Moitessier/RBFmodel_Train,0.0
3889,10.0,N,0,[NH3+]CCCCBr,Moitessier,0.0
5918,8.8,O,3,O[B-](O)([OH2+])c1ccccc1,Moitessier,0.0
1613,13.55,O,3,C#CCO,Moitessier,0.0
5875,13.5,O,4,[O-]c1cc(O)cc([O-])c1,Moitessier,0.0
2492,2.73,N,0,[NH3+]c1cccc2c([N+](=O)[O-])cccc12,Moitessier/RBFmodel_Train,0.0
4723,2.86,N,5,[NH3+]c1ccc([NH3+])cc1,Moitessier,0.0
185_2,9.3,N,8,O=C([O-])[C@H]3[C@@H]1CCC[NH+]1[C@@H](c2ccc(Br)cc2)[C@H]3C(=O)NCc4ccccc4,Moitessier,0.0
